Year,Emissions fossil fuel,Emissions solid fuel,Emissions liquid fuel,Emissions gas fuel,Emissions cement production,Emissions gas flaring,Emissions per capita(metric tons of carbon)
1817,14,14,0,0,0,0,
1818,14,14,0,0,0,0,
1819,14,14,0,0,0,0,
1820,14,14,0,0,0,0,
1821,14,14,0,0,0,0,
1822,15,15,0,0,0,0,
1823,16,16,0,0,0,0,
1824,16,16,0,0,0,0,
1825,17,17,0,0,0,0,
1826,17,17,0,0,0,0,
1827,18,18,0,0,0,0,
1828,18,18,0,0,0,0,
1829,18,18,0,0,0,0,
1830,24,24,0,0,0,0,
1831,23,23,0,0,0,0,
1832,23,23,0,0,0,0,
1833,24,24,0,0,0,0,
1834,24,24,0,0,0,0,
1835,25,25,0,0,0,0,
1836,29,29,0,0,0,0,
1837,29,29,0,0,0,0,
1838,30,30,0,0,0,0,
1839,31,31,0,0,0,0,
1840,33,33,0,0,0,0,
1841,34,34,0,0,0,0,
1842,36,36,0,0,0,0,
1843,37,37,0,0,0,0,
1844,39,39,0,0,0,0,
1845,43,43,0,0,0,0,
1846,43,43,0,0,0,0,
1847,46,46,0,0,0,0,
1848,47,47,0,0,0,0,
1849,50,50,0,0,0,0,
1850,54,54,0,0,0,0,
1851,54,54,0,0,0,0,
1852,57,57,0,0,0,0,
1853,59,59,0,0,0,0,
1854,69,69,0,0,0,0,
1855,71,71,0,0,0,0,
1856,76,76,0,0,0,0,
1857,77,77,0,0,0,0,
1858,78,78,0,0,0,0,
1859,83,83,0,0,0,0,
1860,91,91,0,0,0,0,
1861,95,95,0,0,0,0,
1862,97,96,0,0,0,0,
1863,104,103,0,0,0,0,
1864,112,112,0,0,0,0,
1865,119,119,0,0,0,0,
1866,122,122,0,0,0,0,
1867,130,130,0,0,0,0,
1868,135,134,0,0,0,0,
1869,142,142,0,0,0,0,
1870,147,146,1,0,0,0,
1871,156,156,1,0,0,0,
1872,173,173,1,0,0,0,
1873,184,183,1,0,0,0,
1874,174,173,1,0,0,0,
1875,188,187,1,0,0,0,
1876,191,190,1,0,0,0,
1877,194,192,2,0,0,0,
1878,196,194,2,0,0,0,
1879,210,207,3,0,0,0,
1880,236,233,3,0,0,0,
1881,243,239,4,0,0,0,
1882,256,252,4,0,0,0,
1883,272,269,3,0,0,0,
1884,275,271,4,0,0,0,
1885,277,273,4,1,0,0,
1886,281,275,5,2,0,0,
1887,295,287,5,3,0,0,
1888,327,317,5,5,0,0,
1889,327,318,6,3,0,0,
1890,356,345,8,3,0,0,
1891,372,360,9,2,0,0,
1892,374,363,9,2,0,0,
1893,370,358,10,2,0,0,
1894,383,372,9,2,0,0,
1895,406,393,11,2,0,0,
1896,419,405,12,2,0,0,
1897,440,425,13,2,0,0,
1898,465,449,13,2,0,0,
1899,507,491,14,3,0,0,
1900,534,515,16,3,0,0,
1901,552,531,18,4,0,0,
1902,566,543,19,4,0,0,
1903,617,593,20,4,0,0,
1904,624,597,23,4,0,0,
1905,663,636,23,5,0,0,
1906,707,680,23,5,0,0,
1907,784,750,28,5,0,0,
1908,750,714,30,5,0,0,
1909,785,747,32,6,0,0,
1910,819,778,34,7,0,0,
1911,836,792,36,7,0,0,
1912,879,834,37,8,0,0,
1913,943,895,41,8,0,0,
1914,850,800,42,8,0,0,
1915,838,784,45,9,0,0,
1916,901,842,48,10,0,0,
1917,955,891,54,11,0,0,
1918,936,873,53,10,0,0,
1919,806,735,61,10,0,0,
1920,932,843,78,11,0,0,
1921,803,709,84,10,0,0,
1922,845,740,94,11,0,0,
1923,970,845,111,14,0,0,
1924,963,836,110,16,0,0,
1925,975,842,116,17,0,0,
1926,983,846,119,19,0,0,
1927,1062,905,136,21,0,0,
1928,1065,890,143,23,10,0,
1929,1145,947,160,28,10,0,
1930,1053,862,152,28,10,0,
1931,940,759,147,25,8,0,
1932,847,675,141,24,7,0,
1933,893,708,154,25,7,0,
1934,973,775,162,28,8,0,
1935,1027,811,176,30,9,0,
1936,1130,893,192,34,11,0,
1937,1209,941,219,38,11,0,
1938,1142,880,214,37,12,0,
1939,1192,918,222,38,13,0,
1940,1299,1017,229,42,11,0,
1941,1334,1043,236,42,12,0,
1942,1342,1063,222,45,11,0,
1943,1391,1092,239,50,10,0,
1944,1383,1047,275,54,7,0,
1945,1160,820,275,59,7,0,
1946,1238,875,292,61,10,0,
1947,1392,992,322,67,12,0,
1948,1469,1015,364,76,14,0,
1949,1419,960,362,81,16,0,
1950,1630,1070,423,97,18,23,0.657914429
1951,1767,1129,479,115,20,24,0.700923858
1952,1795,1119,504,124,22,26,0.699879338
1953,1841,1125,533,131,24,27,0.7038301434
1954,1865,1116,557,138,27,27,0.6997735
1955,2043,1208,625,150,30,31,0.7514479163
1956,2177,1273,679,161,32,32,0.7850092566
1957,2270,1309,714,178,34,35,0.8026500516
1958,2330,1336,731,192,36,35,0.806987246
1959,2454,1382,789,206,40,36,0.8333500311
1960,2569,1410,849,227,43,39,0.8574451518
1961,2580,1349,904,240,45,42,0.8477607316
1962,2686,1351,980,263,49,44,0.8681714837
1963,2833,1396,1052,286,51,47,0.8965707853
1964,2995,1435,1137,316,57,51,0.9268076265
1965,3130,1460,1219,337,59,55,0.9479428657
1966,3288,1478,1323,364,63,60,0.975112164
1967,3393,1448,1423,392,65,66,0.9860304237
1968,3566,1448,1551,424,70,73,1.016066266
1969,3780,1486,1673,467,74,80,1.054888848
1970,4053,1556,1839,493,78,87,1.10820071
1971,4208,1559,1947,530,84,88,1.127108829
1972,4376,1576,2057,560,89,95,1.149365618
1973,4614,1581,2241,588,95,110,1.188406965
1974,4623,1579,2245,597,96,107,1.168066366
1975,4595,1673,2132,604,95,92,1.139449238
1976,4864,1710,2314,630,103,108,1.184720794
1977,5016,1756,2398,650,108,104,1.200186385
1978,5074,1780,2392,680,116,106,1.193259158
1979,5357,1875,2544,721,119,98,1.238094564
1980,5301,1935,2422,737,120,86,1.203620738
1981,5138,1908,2289,755,121,65,1.145900823
1982,5095,1976,2196,738,121,64,1.115929083
1983,5076,1977,2176,739,125,58,1.09141269
1984,5258,2074,2199,807,128,51,1.110935094
1985,5417,2216,2186,835,131,49,1.124284663
1986,5583,2277,2293,830,137,46,1.138150862
1987,5725,2339,2306,892,143,44,1.146097815
1988,5936,2387,2412,935,152,50,1.166943913
1989,6066,2428,2459,982,156,41,1.171505672
1990,6052,2359,2492,1026,135,41,1.14848865
1991,6120,2284,2601,1051,138,46,1.141332271
1992,6039,2279,2496,1083,144,37,1.10804182
1993,6091,2275,2513,1114,150,38,1.100289963
1994,6136,2293,2530,1115,159,40,1.091994148
1995,6271,2355,2563,1145,168,39,1.099729158
1996,6432,2413,2618,1187,173,40,1.111882356
1997,6500,2401,2686,1198,176,40,1.108133465
1998,6493,2338,2734,1211,174,36,1.091841741
1999,6639,2385,2774,1265,181,34,1.101476765
2000,6808,2457,2818,1299,188,46,1.114605238
2001,6859,2478,2835,1302,197,47,1.108122573
2002,7029,2593,2841,1337,208,50,1.120805873
2003,7420,2811,2948,1388,223,49,1.167895252
2004,7683,2910,3039,1437,241,55,1.193994222
2005,7992,3116,3067,1489,259,61,1.226372639
2006,8253,3307,3091,1515,280,60,1.250616494
2007,8464,3454,3080,1567,298,64,1.266364329
2008,8661,3597,3079,1616,300,69,1.279662857
2009,8538,3543,3038,1577,310,70,1.245626208
2010,9004,3807,3103,1704,321,69,1.297062882
2011,9291,3985,3142,1743,356,65,1.321710781
2012,9484,4056,3205,1783,373,66,1.33253954
2013,9569,4082,3227,1814,381,66,1.327894561
2014,9628,4066,3269,1842,384,67,1.319829766
2015,9639,3987,3345,1863,380,64,1.305570764
2016,9721,3919,3418,1928,387,69,1.301305952
2017,9851,3965,3443,1983,386,74,1.303508168
2018,10111,4086,3471,2072,408,74,1.3229938
2019,10175,4082,3456,2146,413,79,1.317159161
